file,subject,test_date,location,bing_id,age,age_cat,gender,stim,context,explanation,cb,atypical,insuff_lang,exp_error,interference,check_game,check_bucket_boy,check_bucket_girl,check_sample_boy,check_sample_girl,fc_expl_indiv,inductivePoten,normative_group,innateness_switch,notes
FYP_20190422_02,15,4/22/2019,Bing,bb021,5.0,5,female,6,structural,control,girlsYellow,no,no,no,no,yes,The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,For sure Yellow-Ball,Not okay,Maybe Yellow-Ball,
FYP_20190422_03,16,4/22/2019,Bing,ba635,5.6,5,female,4,nonstructural,formal,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,Maybe Yellow-Ball,Okay,Maybe Green-Ball,
FYP_20190424_01,17,4/24/2019,Bing,ba850,5.1,5,male,5,structural,control,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Okay,Maybe Yellow-Ball,
FYP_20190427_01,18,4/27/2019,Tech,,6.9,6,female,2,nonstructural,control,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,Maybe Yellow-Ball,Okay,For sure Yellow-Ball,
FYP_20190427_02,19,4/27/2019,Tech,,5.4,5,male,5,structural,control,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,For sure Green-Ball,Okay,For sure Yellow-Ball,
FYP_20190427_03,20,4/27/2019,Tech,,6.4,6,female,7,structural,formal,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Okay,Maybe Yellow-Ball,
FYP_20190427_04,21,4/27/2019,Tech,,6.4,6,female,3,nonstructural,formal,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger -> The same size,The green bucket is bigger -> The same size,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Okay,Maybe Green-Ball,
FYP_20190427_05,22,4/27/2019,Tech,,5.3,5,male,3,nonstructural,formal,girlsGreen,no,no,no,no,yes,The same size,The same size,Yellow-Ball,Green-Ball,Because Suzy likes playing Green-Ball,Maybe Yellow-Ball,Not okay,Maybe Green-Ball,
FYP_20190427_06,23,4/27/2019,Tech,,6.5,6,female,4,nonstructural,formal,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Okay,Maybe Yellow-Ball,
FYP_20190427_07,24,4/27/2019,Tech,,6.0,6,female,8,structural,formal,girlsYellow,no,no,no,no,yes,The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,For sure Yellow-Ball,Not okay,For sure Green-Ball,
FYP_20190427_08,25,4/27/2019,Tech,,6.3,6,female,6,structural,control,girlsYellow,no,no,no,no,yes,The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,Maybe Yellow-Ball,Okay,For sure Green-Ball,
FYP_20190504_01,26,5/4/2019,Tech,,5.2,5,male,1,nonstructural,control,girlsGreen,no,no,no,no,yes,-> The same size,-> The same size,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Not okay,Maybe Green-Ball,
FYP_20190504_02,27,5/4/2019,Tech,,6.0,6,male,2,nonstructural,control,girlsYellow,yes,no,no,no,,,,,,,,,,
FYP_20190504_03,28,5/4/2019,Tech,,6.0,6,male,8,structural,formal,girlsYellow,yes,no,no,no,,,,,,,,,,
FYP_20190504_04,29,5/4/2019,Tech,,5.7,5,female,5,structural,control,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,For sure Green-Ball,Not okay,For sure Yellow-Ball,
FYP_20190504_05,30,5/4/2019,Tech,,6.1,6,female,7,structural,formal,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Okay,For sure Yellow-Ball,
FYP_20190504_06,31,5/4/2019,Tech,,5.3,5,female,6,structural,control,girlsYellow,no,no,yes,no,,,,,,,,,,
FYP_20190504_07,32,5/4/2019,Tech,,6.7,6,male,6,structural,control,girlsYellow,no,no,no,no,yes,The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,For sure Yellow-Ball,Okay,For sure Green-Ball,
FYP_20190504_08,33,5/4/2019,Tech,,6.2,6,female,2,nonstructural,control,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,Maybe Yellow-Ball,Okay,Maybe Yellow-Ball,
FYP_20190504_09,34,5/4/2019,Tech,,6.8,6,female,8,structural,formal,girlsYellow,no,no,no,no,yes,The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,Maybe Yellow-Ball,Okay,Maybe Green-Ball,
FYP_20190504_10,35,5/4/2019,Tech,,6.1,6,female,4,nonstructural,formal,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,Maybe Yellow-Ball,Not okay,For sure Yellow-Ball,
FYP_20190508_01,36,5/8/2019,Bing,ba1107 ,5.3,5,male,3,nonstructural,formal,girlsGreen,no,no,no,no,yes,The same size,The same size,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Not okay,Maybe Yellow-Ball,
FYP_20190508_02,37,5/8/2019,Bing,ba916,5.4,5,female,1,nonstructural,control,girlsGreen,no,no,no,no,yes,The same size,The same size,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Okay,Maybe Green-Ball,
FYP_20190510_01,38,5/10/2019,Bing,ba1108,5.3,5,male,2,nonstructural,control,girlsYellow,no,no,no,no,yes,The same size,One of them is bigger -> The same size,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,For sure Yellow-Ball,Not okay,For sure Yellow-Ball,
FYP_20190510_02,39,5/10/2019,Bing,ba859,5.3,5,female,3,nonstructural,formal,girlsGreen,no,no,no,no,yes,The same size,The same size,Yellow-Ball,Green-Ball,Because Suzy likes playing Green-Ball,Maybe Green-Ball,Okay,,
FYP_20190510_03,40,5/10/2019,Bing,ba962,5.0,5,female,4,nonstructural,formal,girlsYellow,no,no,no,no,yes,-> The same size,The same size,-> Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Not okay,Maybe Yellow-Ball,
FYP_20190515_01,41,5/15/2019,Bing,ba1102,5.6,5,female,6,structural,control,girlsYellow,no,no,no,no,yes,The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,Maybe Yellow-Ball,Okay,Maybe Green-Ball,
FYP_20190517_01,42,5/17/2019,Bing,ba1109,5.2,5,male,1,nonstructural,control,girlsGreen,no,no,no,no,yes,One of them is bigger -> The same size,One of them is bigger -> The same size,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,For sure Green-Ball,Not okay,Maybe Yellow-Ball,"inductivePoten: ""Green-Ball because she's a girl"""
FYP_20190517_02,43,5/17/2019,Bing,ba887,5.0,5,male,5,structural,control,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,For sure Green-Ball,Okay,For sure Yellow-Ball,
FYP_20190519_01,44,5/19/2019,Tech,,5.7,5,female,7,structural,formal,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,-> The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,For sure Green-Ball,Not okay,Maybe Yellow-Ball,
FYP_20190519_02,45,5/19/2019,Tech,,5.9,5,female,8,structural,formal,girlsYellow,no,no,no,no,yes,The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,For sure Yellow-Ball,Okay,Maybe Green-Ball,
FYP_20190519_03,46,5/19/2019,Tech,,5.9,5,male,4,nonstructural,formal,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,For sure Yellow-Ball,Okay,Maybe Green-Ball,
FYP_20190519_04,47,5/19/2019,Tech,,5.9,5,female,5,structural,control,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,For sure Green-Ball,Okay,Maybe Yellow-Ball,"inductivePoten: ""For sure Green-Ball because she's new and she doesn't know that much about them"""
FYP_20190519_05,48,5/19/2019,Tech,,5.9,5,male,2,nonstructural,control,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,For sure Yellow-Ball,Okay,For sure Yellow-Ball,
FYP_20190519_06,49,5/19/2019,Tech,,5.8,5,male,7,structural,formal,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Okay,For sure Yellow-Ball,
FYP_20190519_07,50,5/19/2019,Tech,,5.3,5,male,8,structural,formal,girlsYellow,no,no,no,no,yes,The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,Maybe Yellow-Ball,Not okay,Maybe Green-Ball,
FYP_20190519_08,51,5/19/2019,Tech,,5.3,5,male,1,nonstructural,control,girlsGreen,no,no,no,no,yes,The same size,The same size,Yellow-Ball,Green-Ball,Because Suzy likes playing Green-Ball,For sure Green-Ball,Not okay,For sure Yellow-Ball,
FYP_20190520_01,52,5/20/2019,Bing,ba963,5.0,5,female,2,nonstructural,control,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,For sure Yellow-Ball,Not okay,For sure Green-Ball,"check_game: ""The girls must play with the Yellow-Ball, and the boys must play with the Green-Ball"""
FYP_20190520_02,53,5/20/2019,Bing,ba1184,5.3,5,male,6,structural,control,girlsYellow,no,no,no,no,yes,The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,For sure Yellow-Ball,Not okay,For sure Green-Ball,
FYP_20190602_01,54,6/2/2019,Tech,,6.8,6,male,3,nonstructural,formal,girlsGreen,no,no,no,no,yes,The same size,The same size,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,For sure Green-Ball,Okay,Maybe Yellow-Ball,
FYP_20190602_02,55,6/2/2019,Tech,,6.6,6,male,4,nonstructural,formal,girlsYellow,no,no,no,no,yes,One of them is bigger -> The same size,The same size,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,Maybe Green-Ball,Okay,Maybe Yellow-Ball,
FYP_20190602_03,56,6/2/2019,Tech,,5.4,5,female,8,structural,formal,girlsYellow,no,no,no,no,yes,The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,For sure Yellow-Ball,Not okay,For sure Green-Ball,
FYP_20190602_04,57,6/2/2019,Tech,,5.6,5,female,7,structural,formal,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Okay,Maybe Green-Ball,Hasidic
FYP_20190602_05,58,6/2/2019,Tech,,5.5,5,male,2,nonstructural,control,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,Maybe Yellow-Ball,Not okay,For sure Yellow-Ball,"fc_expl_indiv: ""Because she likes the color of the yellow ball"""
FYP_20190602_06,59,6/2/2019,Tech,,5.9,5,male,3,nonstructural,formal,girlsGreen,no,no,no,no,yes,-> The same size,-> The same size,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,For sure Green-Ball,Not okay,For sure Yellow-Ball,
FYP_20190602_07,60,6/2/2019,Tech,,6.4,6,male,1,nonstructural,control,girlsGreen,no,no,no,no,yes,The same size,The same size,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Not okay,Maybe Yellow-Ball,
FYP_20190602_08,61,6/2/2019,Tech,,6.6,6,male,5,structural,control,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Okay,Maybe Yellow-Ball,"innateness_switch: ""Probably"""
FYP_20190602_09,62,6/2/2019,Tech,,5.3,5,male,4,nonstructural,formal,girlsYellow,no,no,no,no,yes,-> The same size,-> The same size,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,For sure Yellow-Ball,Not okay,For sure Yellow-Ball,"reluctant to talk to me, dad would aggressively ask him to answer my questions, he would say answers to the dad"
FYP_20190605_01,63,6/3/2019,Bing,ba1082,5.5,5,male,8,structural,formal,girlsYellow,no,no,no,no,yes,The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,Maybe Yellow-Ball,Okay,For sure Green-Ball,
FYP_20190605_02,64,6/3/2019,Bing,ba907,5.0,5,male,6,structural,control,girlsYellow,no,no,no,no,yes,The green bucket is bigger,-> The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,Maybe Yellow-Ball,Not okay,For sure Yellow-Ball,"inductivePoten: ""Maybe Yellow-Ball because she's a girl""; innateness_switch: had difficulty choosing between the two, answered after being prompted twice"
FYP_20190605_03,65,6/3/2019,Bing,ba878,5.3,5,female,2,nonstructural,control,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,Maybe Green-Ball,Not okay,For sure Yellow-Ball,fc_expl_indiv: indirect answer
FYP_20190615_01,66,6/15/2019,Tech,,5.3,5,male,4,nonstructural,formal,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Not okay,For sure Green-Ball,
FYP_20190615_02,67,6/15/2019,Tech,,5.9,5,male,7,structural,formal,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Yellow-Ball,Not okay,For sure Yellow-Ball,
FYP_20190615_03,68,6/15/2019,Tech,,6.9,6,male,7,structural,formal,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Yellow-Ball,Okay,Maybe Yellow-Ball,"normative_group: ""A little bit ok"""
FYP_20190615_04,69,6/15/2019,Tech,,5.6,5,male,8,structural,formal,girlsYellow,no,no,no,no,yes,The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,For sure Yellow-Ball,Not okay,For sure Green-Ball,
FYP_20190615_05,70,6/15/2019,Tech,,5.6,5,male,,,,,,,,,,,,,,,,,,Recording not found
FYP_20190617_01,71,6/17/2019,Bing,ba689,6.0,6,female,5,structural,control,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Okay,Maybe Yellow-Ball,
FYP_20190618_01,72,6/18/2019,Bing,ba1134,5.2,5,male,6,structural,control,girlsYellow,no,no,no,no,yes,The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,Maybe Yellow-Ball,Not okay,For sure Green-Ball,
FYP_20190619_01,73,6/19/2019,Bing,ba974,5.0,5,female,2,nonstructural,control,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,For sure Yellow-Ball,Okay,For sure Yellow-Ball,"Mentioned that the balls had different shapes / sizes more than once. ""Girls love yellow, and boys love green"""
FYP_20190619_02,74,6/19/2019,Bing,ba1093,6.4,6,female,1,nonstructural,control,girlsGreen,no,no,no,no,yes,The same size,The same size,Yellow-Ball,Green-Ball,Because Suzy likes playing Green-Ball,Maybe Green-Ball,Okay,Maybe Green-Ball,
FYP_20190619_03,75,6/19/2019,Bing,ba1124,5.0,5,male,3,nonstructural,formal,girlsGreen,no,no,no,no,yes,The same size,The same size,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Not okay,For sure Green-Ball,
FYP_20190705_01,76,7/5/2019,Bing,ba1071,5.3,5,female,,,,,,,,,,,,,,,,,,Recording not found
FYP_20190705_02,77,7/5/2019,Bing,ba865,5.4,5,male,5,structural,control,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Yellow-Ball,Okay,Maybe Green-Ball,"Said that ""I would play Green-Ball, because that's my favorite color"" before being exposed to manipulation"
FYP_20190708_01,78,7/8/2019,Bing,ba1071,5.3,5,female,6,structural,control,girlsYellow,no,no,no,no,yes,The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,For sure Yellow-Ball,Not okay,For sure Green-Ball,"Thought that it would be easier to get the pebble in the yellow bucket in the boys' classroom (though smaller) because it was the same size as the pebble, was corrected"
FYP_20190710_01,79,7/10/2019,Bing,bb222,5.0,5,male,7,structural,formal,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Okay,Maybe Yellow-Ball,
FYP_20190710_02,80,7/10/2019,Bing,ba1078,5.5,5,male,8,structural,formal,girlsYellow,no,no,no,no,yes,-> The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,For sure Yellow-Ball,Okay,Maybe Green-Ball,"fc_expl_indiv: ""Because she is a girl"" initially"
FYP_20190712_01,81,7/12/2019,Bing,ba861,5.1,5,female,1,nonstructural,control,girlsGreen,no,no,no,no,yes,The same size,The same size,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Okay,Maybe Green-Ball,
FYP_20190712_02,82,7/12/2019,Bing,ba864,5.5,5,male,2,nonstructural,control,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,Maybe Green-Ball,Okay,Maybe Yellow-Ball,Enthusiastic but reluctant to answer critical questions
FYP_20190715_01,83,7/15/2019,Bing,bb354,5.3,5,male,2,nonstructural,control,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Okay,Maybe Green-Ball,
FYP_20190729_01,84,7/29/2019,Bing,ba954,5.4,5,female,4,nonstructural,formal,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,Maybe Green-Ball,Not okay,Maybe Green-Ball,"innateness_switch: originally said Yellow-Ball, then said Green-Ball ""because she's in the boy's classroom"""
FYP_20190729_02,85,7/29/2019,Bing,bb051,5.4,5,female,5,structural,control,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,-> Yellow-Ball,Green-Ball,Because Suzy likes playing Green-Ball,Maybe Green-Ball,Not okay,Maybe Green-Ball,
FYP_20190729_03,86,7/29/2019,Bing,ba956,5.3,5,female,6,structural,control,girlsYellow,no,no,no,no,yes,The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,For sure Yellow-Ball,Okay,Maybe Green-Ball,
FYP_20190729_04,87,7/29/2019,Bing,ba991,5.4,5,male,7,structural,formal,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Yellow-Ball,Not okay,Maybe Green-Ball,
FYP_20190730_01,88,7/30/2019,Bing,ba837,5.9,5,male,4,nonstructural,formal,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,Maybe Yellow-Ball,Okay,Maybe Yellow-Ball,
FYP_20190801_01,89,8/1/2019,Bing,ba1095,6.1,6,female,1,nonstructural,control,girlsGreen,no,no,no,no,yes,The same size,The same size,Yellow-Ball,Green-Ball,Because Suzy likes playing Green-Ball,Maybe Green-Ball,Okay,Maybe Green-Ball,
FYP_20190802_01,90,8/2/2019,Bing,ba384,6.9,6,male,8,structural,formal,girlsYellow,no,no,no,no,yes,The same size,The same size,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,Maybe Yellow-Ball,Okay,Maybe Green-Ball,
FYP_20190802_02,91,8/2/2019,Bing,ba706,6.2,6,female,8,structural,formal,girlsYellow,no,no,no,no,yes,The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,Maybe Yellow-Ball,Okay,Maybe Green-Ball,inductivePoten - because we never know what she's play
FYP_20190805_01,92,8/5/2019,Bing,ba693,6.7,6,male,6,structural,control,girlsYellow,no,no,no,no,yes,The green bucket is bigger,The yellow bucket is bigger,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,Maybe Yellow-Ball,Okay,Maybe Green-Ball,inductivePoten - because sometimes girls play Yellow-Ball and they play Green-Ball sometimes
FYP_20190806_01,93,8/6/2019,Bing,ba747,6.5,6,female,7,structural,formal,girlsGreen,no,no,no,no,yes,The yellow bucket is bigger,The green bucket is bigger,Yellow-Ball,Green-Ball,Because of the size of the buckets in her classroom,For sure Green-Ball,Okay,For sure Yellow-Ball,
FYP_20190808_01,94,8/8/2019,Bing,ba756,5.9,5,male,4,nonstructural,formal,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because Suzy likes playing Yellow-Ball,Maybe Yellow-Ball,Okay,For sure Yellow-Ball,
FYP_20190813_01,95,8/13/2019,JMZ,,6.9,6,male,4,nonstructural,formal,girlsYellow,no,no,no,no,yes,The same size,The same size,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,Maybe Green-Ball,Okay,For sure Green-Ball,"younger sister sitting by his side, watching screen"
FYP_20190813_02,96,8/13/2019,JMZ,,5.8,5,male,6,structural,control,girlsYellow,no,no,no,no,yes,The same size -> The green bucket is bigger,The green bucket is bigger -> The yellow bucket,Green-Ball,Yellow-Ball,Because of the size of the buckets in her classroom,For sure Yellow-Ball,Not okay,For sure Green-Ball,
FYP_20190819_01,97,8/19/2019,Bing,ba996,5.1,5,female,1,nonstructural,control,girlsGreen,no,no,no,no,yes,The same size,The same size,Yellow-Ball,Green-Ball,Because Suzy likes playing Green-Ball,For sure Green-Ball,Okay,Maybe Green-Ball,messing with the keyboard
FYP_20190820_01,98,8/20/2019,JMZ,,5.3,5,female,3,nonstructural,formal,girlsGreen,no,no,no,no,yes,The same size,The same size,Yellow-Ball,Green-Ball,Because Suzy likes playing Green-Ball,For sure Green-Ball,Okay,Maybe Green-Ball,
